time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,gameId,playId,playDirection
2018-12-30T21:35:00.300,81.81,27.76,0,0,0,44.46,11.6,None,31018,Sam Koch,4,P,home,1,2018123000,373,right
2018-12-30T21:35:00.400,81.81,27.76,0,0,0,43.59,3.65,None,31018,Sam Koch,4,P,home,2,2018123000,373,right
2018-12-30T21:35:00.500,81.81,27.76,0,0,0,43.59,1.19,None,31018,Sam Koch,4,P,home,3,2018123000,373,right
2018-12-30T21:35:00.600,81.81,27.76,0,0,0,43.59,0.42,None,31018,Sam Koch,4,P,home,4,2018123000,373,right
2018-12-30T21:35:00.700,81.81,27.76,0,0,0,43.59,359.87,None,31018,Sam Koch,4,P,home,5,2018123000,373,right
2018-12-30T21:35:00.800,81.81,27.76,0,0,0,43.59,355.57,None,31018,Sam Koch,4,P,home,6,2018123000,373,right
2018-12-30T21:35:00.900,81.81,27.76,0,0,0,43.59,352.84,None,31018,Sam Koch,4,P,home,7,2018123000,373,right
2018-12-30T21:35:01.000,81.81,27.76,0,0,0,43.59,350.2,None,31018,Sam Koch,4,P,home,8,2018123000,373,right
2018-12-30T21:35:01.100,81.81,27.76,0,0,0,43.59,342.71,None,31018,Sam Koch,4,P,home,9,2018123000,373,right
2018-12-30T21:35:01.200,81.81,27.76,0,0,0,43.59,349.82,None,31018,Sam Koch,4,P,home,10,2018123000,373,right
2018-12-30T21:35:01.300,81.81,27.76,0,0,0,43.59,353.03,ball_snap,31018,Sam Koch,4,P,home,11,2018123000,373,right
2018-12-30T21:35:01.400,81.81,27.76,0,0,0,43.59,351.41,None,31018,Sam Koch,4,P,home,12,2018123000,373,right
2018-12-30T21:35:01.500,81.81,27.76,0,0.02,0,43.59,301.72,None,31018,Sam Koch,4,P,home,13,2018123000,373,right
2018-12-30T21:35:01.600,81.81,27.76,0.01,0.12,0,43.59,268.7,None,31018,Sam Koch,4,P,home,14,2018123000,373,right
2018-12-30T21:35:01.700,81.81,27.76,0.03,0.21,0,43.59,258.58,None,31018,Sam Koch,4,P,home,15,2018123000,373,right
2018-12-30T21:35:01.800,81.8,27.76,0.06,0.3,0.01,42.99,249.51,None,31018,Sam Koch,4,P,home,16,2018123000,373,right
2018-12-30T21:35:01.900,81.79,27.75,0.1,0.31,0.01,42.99,243.99,None,31018,Sam Koch,4,P,home,17,2018123000,373,right
2018-12-30T21:35:02.000,81.78,27.74,0.15,0.36,0.01,42.99,234.66,None,31018,Sam Koch,4,P,home,18,2018123000,373,right
2018-12-30T21:35:02.100,81.77,27.73,0.22,0.45,0.02,42.99,227.89,None,31018,Sam Koch,4,P,home,19,2018123000,373,right
2018-12-30T21:35:02.200,81.75,27.71,0.24,0.34,0.02,42.99,228.71,None,31018,Sam Koch,4,P,home,20,2018123000,373,right
2018-12-30T21:35:02.300,81.73,27.69,0.27,0.29,0.03,43.78,225.55,None,31018,Sam Koch,4,P,home,21,2018123000,373,right
2018-12-30T21:35:02.400,81.71,27.67,0.32,0.3,0.03,46.44,223.4,None,31018,Sam Koch,4,P,home,22,2018123000,373,right
