time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,gameId,playId,playDirection
2018-12-30T21:38:11.400,40.67,31.97,3.72,0.97,0.37,113.74,129.4,None,39470,Justin Tucker,9,K,home,1,2018123000,392,right
2018-12-30T21:38:11.500,40.98,31.72,4.02,1.25,0.4,118.55,128.53,None,39470,Justin Tucker,9,K,home,2,2018123000,392,right
2018-12-30T21:38:11.600,41.31,31.46,4.26,1.29,0.42,117.62,128.53,None,39470,Justin Tucker,9,K,home,3,2018123000,392,right
2018-12-30T21:38:11.700,41.65,31.19,4.46,1.26,0.44,117.62,128.08,None,39470,Justin Tucker,9,K,home,4,2018123000,392,right
2018-12-30T21:38:11.800,42.02,30.91,4.65,1.19,0.46,117.62,127.02,None,39470,Justin Tucker,9,K,home,5,2018123000,392,right
2018-12-30T21:38:11.900,42.41,30.63,4.85,1.31,0.48,120.67,125.55,None,39470,Justin Tucker,9,K,home,6,2018123000,392,right
2018-12-30T21:38:12.000,42.82,30.35,5.02,1.32,0.5,124.62,123.82,None,39470,Justin Tucker,9,K,home,7,2018123000,392,right
2018-12-30T21:38:12.100,43.24,30.07,5.07,1.1,0.5,130.74,122.37,None,39470,Justin Tucker,9,K,home,8,2018123000,392,right
2018-12-30T21:38:12.200,43.68,29.82,5.09,1.43,0.51,128.96,119.32,None,39470,Justin Tucker,9,K,home,9,2018123000,392,right
2018-12-30T21:38:12.300,44.12,29.59,4.89,1.76,0.49,124.34,117.03,kickoff,39470,Justin Tucker,9,K,home,10,2018123000,392,right
2018-12-30T21:38:12.400,44.55,29.38,4.72,2.14,0.48,120.03,114.78,None,39470,Justin Tucker,9,K,home,11,2018123000,392,right
2018-12-30T21:38:12.500,44.97,29.19,4.58,2.13,0.47,119.31,113.41,None,39470,Justin Tucker,9,K,home,12,2018123000,392,right
2018-12-30T21:38:12.600,45.38,29.02,4.34,2.36,0.44,106.27,111.4,None,39470,Justin Tucker,9,K,home,13,2018123000,392,right
2018-12-30T21:38:12.700,45.77,28.87,4.1,2.47,0.42,97.25,109.56,None,39470,Justin Tucker,9,K,home,14,2018123000,392,right
2018-12-30T21:38:12.800,46.15,28.74,3.91,2.35,0.4,90.56,108.25,None,39470,Justin Tucker,9,K,home,15,2018123000,392,right
2018-12-30T21:38:12.900,46.52,28.62,3.75,2.09,0.39,85.28,107.63,None,39470,Justin Tucker,9,K,home,16,2018123000,392,right
2018-12-30T21:38:13.000,46.88,28.49,3.63,1.76,0.37,80.42,108.22,None,39470,Justin Tucker,9,K,home,17,2018123000,392,right
2018-12-30T21:38:13.100,47.22,28.38,3.49,1.54,0.36,75.25,108.71,None,39470,Justin Tucker,9,K,home,18,2018123000,392,right
2018-12-30T21:38:13.200,47.54,28.26,3.39,1.39,0.35,71.55,109.44,None,39470,Justin Tucker,9,K,home,19,2018123000,392,right
2018-12-30T21:38:13.300,47.86,28.14,3.27,1.37,0.34,67.77,110.78,None,39470,Justin Tucker,9,K,home,20,2018123000,392,right
2018-12-30T21:38:13.400,48.16,28.03,3.13,1.35,0.32,69.44,110.47,None,39470,Justin Tucker,9,K,home,21,2018123000,392,right
2018-12-30T21:38:13.500,48.44,27.92,3.02,1.31,0.31,71.38,111.59,None,39470,Justin Tucker,9,K,home,22,2018123000,392,right
2018-12-30T21:38:13.600,48.72,27.8,2.94,1.24,0.3,71.38,113.76,None,39470,Justin Tucker,9,K,home,23,2018123000,392,right
2018-12-30T21:38:13.700,48.99,27.67,2.9,1.09,0.3,72.65,115.14,None,39470,Justin Tucker,9,K,home,24,2018123000,392,right
2018-12-30T21:38:13.800,49.26,27.55,2.92,0.76,0.3,72.65,115.8,None,39470,Justin Tucker,9,K,home,25,2018123000,392,right
2018-12-30T21:38:13.900,49.53,27.42,2.94,0.49,0.3,72.65,115.52,None,39470,Justin Tucker,9,K,home,26,2018123000,392,right
2018-12-30T21:38:14.000,49.8,27.29,3,0.23,0.3,75.11,115.17,None,39470,Justin Tucker,9,K,home,27,2018123000,392,right
2018-12-30T21:38:14.100,50.08,27.17,3.03,0.17,0.31,75.11,114.41,None,39470,Justin Tucker,9,K,home,28,2018123000,392,right
2018-12-30T21:38:14.200,50.36,27.04,3.04,0.3,0.3,74.13,113.42,None,39470,Justin Tucker,9,K,home,29,2018123000,392,right
2018-12-30T21:38:14.300,50.66,26.93,3.14,0.5,0.32,76.28,111.44,None,39470,Justin Tucker,9,K,home,30,2018123000,392,right
2018-12-30T21:38:14.400,50.96,26.83,3.17,0.8,0.32,80.35,108.13,None,39470,Justin Tucker,9,K,home,31,2018123000,392,right
2018-12-30T21:38:14.500,51.29,26.74,3.31,0.96,0.34,81.56,105.46,None,39470,Justin Tucker,9,K,home,32,2018123000,392,right
2018-12-30T21:38:14.600,51.63,26.66,3.42,0.98,0.35,83.78,103.36,None,39470,Justin Tucker,9,K,home,33,2018123000,392,right
2018-12-30T21:38:14.700,51.97,26.59,3.53,0.94,0.35,85,101.88,None,39470,Justin Tucker,9,K,home,34,2018123000,392,right
2018-12-30T21:38:14.800,52.33,26.51,3.65,1.2,0.36,85,100.65,None,39470,Justin Tucker,9,K,home,35,2018123000,392,right
2018-12-30T21:38:14.900,52.69,26.45,3.76,1.08,0.37,85,99.25,None,39470,Justin Tucker,9,K,home,36,2018123000,392,right
2018-12-30T21:38:15.000,53.07,26.4,3.91,1.18,0.38,86.68,97.26,None,39470,Justin Tucker,9,K,home,37,2018123000,392,right
2018-12-30T21:38:15.100,53.46,26.35,4.01,0.97,0.4,87.93,95.78,None,39470,Justin Tucker,9,K,home,38,2018123000,392,right
2018-12-30T21:38:15.200,53.87,26.32,4.11,0.78,0.41,87.27,94.62,None,39470,Justin Tucker,9,K,home,39,2018123000,392,right
2018-12-30T21:38:15.300,54.28,26.29,4.2,0.6,0.42,86.55,93.86,None,39470,Justin Tucker,9,K,home,40,2018123000,392,right
2018-12-30T21:38:15.400,54.72,26.26,4.32,0.47,0.43,86.55,93.38,None,39470,Justin Tucker,9,K,home,41,2018123000,392,right
2018-12-30T21:38:15.500,55.15,26.24,4.38,0.42,0.44,86.55,92.48,None,39470,Justin Tucker,9,K,home,42,2018123000,392,right
2018-12-30T21:38:15.600,55.6,26.22,4.46,0.31,0.45,85.62,92.06,None,39470,Justin Tucker,9,K,home,43,2018123000,392,right
2018-12-30T21:38:15.700,56.05,26.21,4.51,0.37,0.45,88.55,91.08,None,39470,Justin Tucker,9,K,home,44,2018123000,392,right
2018-12-30T21:38:15.800,56.51,26.21,4.54,0.53,0.46,90.24,89.85,None,39470,Justin Tucker,9,K,home,45,2018123000,392,right
2018-12-30T21:38:15.900,56.97,26.23,4.58,0.71,0.46,90.24,88.26,None,39470,Justin Tucker,9,K,home,46,2018123000,392,right
2018-12-30T21:38:16.000,57.44,26.25,4.62,0.81,0.47,90.24,86.84,None,39470,Justin Tucker,9,K,home,47,2018123000,392,right
2018-12-30T21:38:16.100,57.9,26.28,4.66,0.77,0.47,90.24,85.88,None,39470,Justin Tucker,9,K,home,48,2018123000,392,right
2018-12-30T21:38:16.200,58.37,26.32,4.68,0.73,0.47,89.24,85,None,39470,Justin Tucker,9,K,home,49,2018123000,392,right
2018-12-30T21:38:16.300,58.84,26.37,4.71,0.71,0.47,87.77,83.94,None,39470,Justin Tucker,9,K,home,50,2018123000,392,right
2018-12-30T21:38:16.400,59.31,26.42,4.71,0.57,0.47,88.52,83.85,None,39470,Justin Tucker,9,K,home,51,2018123000,392,right
2018-12-30T21:38:16.500,59.79,26.47,4.72,0.55,0.48,89.73,83.22,None,39470,Justin Tucker,9,K,home,52,2018123000,392,right
2018-12-30T21:38:16.600,60.26,26.53,4.72,0.6,0.48,90.41,82.66,None,39470,Justin Tucker,9,K,home,53,2018123000,392,right
2018-12-30T21:38:16.700,60.73,26.6,4.74,0.55,0.48,90.41,82.37,kick_received,39470,Justin Tucker,9,K,home,54,2018123000,392,right
2018-12-30T21:38:16.800,61.21,26.66,4.74,0.54,0.48,88.09,82.71,None,39470,Justin Tucker,9,K,home,55,2018123000,392,right
