time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,team,frameId,gameId,playId,playDirection
2018-12-30T18:19:35.200,25.19,29.12,0.3,0.95,0.03,262.35,13.32,None,34563,Glover Quin,27,FS,away,1,2018123002,467,right
2018-12-30T18:19:35.300,25.18,29.16,0.37,0.93,0.03,262.35,356.78,None,34563,Glover Quin,27,FS,away,2,2018123002,467,right
2018-12-30T18:19:35.400,25.18,29.2,0.45,0.8,0.04,263.35,350,None,34563,Glover Quin,27,FS,away,3,2018123002,467,right
2018-12-30T18:19:35.500,25.17,29.24,0.49,0.65,0.05,264.6,343.29,None,34563,Glover Quin,27,FS,away,4,2018123002,467,right
2018-12-30T18:19:35.600,25.14,29.29,0.56,0.66,0.05,264.6,333.88,None,34563,Glover Quin,27,FS,away,5,2018123002,467,right
2018-12-30T18:19:35.700,25.11,29.35,0.65,0.69,0.06,264.6,329.84,None,34563,Glover Quin,27,FS,away,6,2018123002,467,right
2018-12-30T18:19:35.800,25.08,29.41,0.71,0.66,0.07,265.2,325.72,line_set,34563,Glover Quin,27,FS,away,7,2018123002,467,right
2018-12-30T18:19:35.900,25.03,29.46,0.7,0.57,0.07,265.2,318.7,None,34563,Glover Quin,27,FS,away,8,2018123002,467,right
2018-12-30T18:19:36.000,24.99,29.5,0.69,0.43,0.07,264.45,315.16,None,34563,Glover Quin,27,FS,away,9,2018123002,467,right
2018-12-30T18:19:36.100,24.94,29.55,0.68,0.4,0.07,264.45,311.11,None,34563,Glover Quin,27,FS,away,10,2018123002,467,right
2018-12-30T18:19:36.200,24.89,29.59,0.68,0.26,0.07,263.73,310.56,ball_snap,34563,Glover Quin,27,FS,away,11,2018123002,467,right
2018-12-30T18:19:36.300,24.84,29.64,0.65,0.23,0.06,263.73,314.28,None,34563,Glover Quin,27,FS,away,12,2018123002,467,right
2018-12-30T18:19:36.400,24.8,29.68,0.64,0.27,0.06,263.14,316.21,None,34563,Glover Quin,27,FS,away,13,2018123002,467,right
2018-12-30T18:19:36.500,24.75,29.73,0.6,0.38,0.06,263.14,318.38,None,34563,Glover Quin,27,FS,away,14,2018123002,467,right
2018-12-30T18:19:36.600,24.71,29.78,0.61,0.29,0.06,263.14,320.62,None,34563,Glover Quin,27,FS,away,15,2018123002,467,right
